章番号,問題番号,分類名称,問題文,借方,金額,貸方,金額,語群01,語群02,語群03,語群04,語群05,語群06,語群07,語群08,語群09,語群10,語群11,語群12,解説本文
SECT005,Q0010,債権債務等,A商店に￥200を貸付け、小切手を振出した。,貸付金,200,当座預金,200,現金,未収金,当座預金,貸付金,手形貸付金,手形借入金,-,-,-,-,-,-,通常の貸付は「貸付金」（資産）の増加と仕訳する。#よって、#（借方）貸付金200「資産の増加」#（貸方）当座預金200「資産の減少」#となります。
SECT005,Q0020,債権債務等,A商店は、B商店に￥500を貸付け、小切手を振出した。なお、B商店から同額の約束手形を受取った。,手形貸付金,500,当座預金,500,現金,当座預金,未払金,売買目的有価証券,手形貸付金,手形借入金,-,-,-,-,-,-,貸付の際に手形を受取る場合、通常の貸付金とは区別し、「手形貸付金」（資産）として仕訳する。#よって、#（借方）手形貸付金500「資産の増加」#（貸方）当座預金500「資産の減少」#となります。# #オマケ情報#お金を貸す際には、通常「借用証書」という紙が発行されます（貸付金）が、借用証書の代わりに「手形」を発行される場合があり（手形貸付金）、それらは、仕訳上、区別されることになります。
SECT005,Q0030,債権債務等,A商店に融資の申し込みを行い、当店振出し、A商店宛の約束手形￥300と引換えに同額の現金を受け取った。,現金,300,手形借入金,300,現金,未収金,未払金,売買目的有価証券,手形貸付金,手形借入金,-,-,-,-,-,-,約束手形の振出しと引換えに現金を受取った場合、手形による借入れとして「手形借入金」（負債）の増加として仕訳する。#よって、#（借方）現金300「資産の増加」#（貸方）手形借入金300「負債の増加」#となります。
SECT005,Q0040,債権債務等,A商店に対して￥100を貸付け、A商店振出しの約束手形を受取っていたが、返済期日を迎えたため、当座預金に入金された。,当座預金,100,手形貸付金,100,現金,当座預金,未払金,売買目的有価証券,手形貸付金,手形借入金,-,-,-,-,-,-,手形による貸付が返済された場合、「手形貸付金」の減少として仕訳します。#よって、#（借方）当座預金100「資産の増加」#（貸方）手形貸付金100「資産の減少」#となります。
SECT005,Q0050,債権債務等,建物￥500を購入し、代金は月末に支払うこととした。,建物,500,未払金,500,現金,未収金,未払金,建物,手形貸付金,手形借入金,-,-,-,-,-,-,建物を購入した際に代金を後日払いとした場合、「未払金」（負債）の増加として仕訳します。#よって、#（借方）建物500「資産の増加」#（貸方）未払金500「負債の増加」#となります。# #オマケ情報#代金を後日払いとした場合仕訳は2パターンに分かれます。#①商品売買の後日払い→「買掛金」#②商品売買以外の後日払い→「未払金」#と使用する勘定を区別しますのでおさえておいてください。
SECT005,Q0060,債権債務等,A商店は、商品￥300を仕入れ、代金は後日払いとした。なお、引取運賃￥100は、後日支払うことにした。,仕入,400,買掛金,300,売掛金,未収金,未払金,買掛金,仕入,売上,-,-,-,-,-,-,商品代金の後日払いは「買掛金」として仕訳し、引取運賃の後日払いは「未払金」として仕訳します。#よって、#（借方）仕入400「費用の増加」#（貸方）買掛金300「負債の増加」#（貸方）未払金100「負債の増加」#となります。# #オマケ情報#商品売買に関する後日払いは「買掛金」として仕訳しますが、引取運賃は「未払金」として仕訳します。#判断のポイントは、#「仕入先」に直接支払う金額→「買掛金」#それ以外に支払う金額→「未払金」となります。#引取運賃は「運送会社」に支払う金額なので「未払金」として仕訳するというわけです。
SECT005,Q0061,債権債務等,-,-,-,未払金,100,売掛金,未収金,未払金,買掛金,仕入,売上,-,-,-,-,-,-,-
SECT005,Q0070,債権債務等,A商店に商品￥600を売上げ、代金は後日受取ることにした。なお、A商店負担の発送運賃￥100は、現金で立替払いした。（立替金勘定使用）,売掛金,600,売上,600,売掛金,売上,現金,立替金,手形貸付金,手形借入金,-,-,-,-,-,-,先方負担の発送運賃を立替払いした場合、「立替金」（資産）の増加として仕訳します。#よって、#（借方）売掛金600「資産の増加」#（借方）立替金100「資産の増加」#（貸方）売上600「収益の増加」#（貸方）現金100「資産の減少」#となります。
SECT005,Q0071,債権債務等,-,立替金,100,現金,100,売掛金,売上,現金,立替金,手形貸付金,手形借入金,-,-,-,-,-,-,-
SECT005,Q0080,債権債務等,A商店に商品￥700を売上げ、代金は掛けとした。なお、先方負担の発送運賃￥100は、小切手を振出して支払った。（立替金勘定は使用しない）,売掛金,800,売上,700,現金,当座預金,売掛金,売上,手形貸付金,手形借入金,-,-,-,-,-,-,先方負担の発送運賃を立替払いし、かつ、立替金勘定を使用しない場合、「売掛金」（資産）の増加として仕訳します。#よって、#（借方）売掛金800「資産の増加」#（貸方）売上700「収益の増加」#（貸方）当座預金100「資産の減少」#となります。
SECT005,Q0081,債権債務等,-,-,-,当座預金,100,現金,当座預金,売掛金,売上,手形貸付金,手形借入金,-,-,-,-,-,-,-
SECT005,Q0090,債権債務等,販売用の椅子￥100を購入し、代金は後日払いとした。,仕入,100,買掛金,100,現金,買掛金,未払金,仕入,売上,建物,-,-,-,-,-,-,「販売用」の椅子の購入は、すなわち、商品の仕入に該当します。#よって、#（借方）仕入100「費用の増加」#（貸方）買掛金100「負債の増加」#となります。
SECT005,Q0100,債権債務等,建物￥200を購入し、代金は後日払いとした。,建物,200,未払金,200,現金,買掛金,未払金,仕入,売上,建物,-,-,-,-,-,-,「販売用でない（特別な指示が無い）」建物、すなわち自社利用の建物は「建物」（資産）勘定により仕訳します。#よって、#（借方）建物200「資産の増加」#（貸方）未払金200「負債の増加」#となります。
SECT005,Q0110,債権債務等,A商店は、営業用の自動車￥300を購入し、代金のうち、￥100は現金で支払い、残額は月末に支払うことにした。,車両運搬具,300,現金,100,現金,未収金,未払金,車両運搬具,手形貸付金,手形借入金,-,-,-,-,-,-,「販売用でない（本問では営業用）」自動車等は「車両運搬具」（資産）という勘定を用い、仕訳します。#よって、#（借方）車両運搬具300「資産の増加」#（貸方）現金100「資産の減少」#（貸方）未払金200「負債の増加」#となります。
SECT005,Q0111,債権債務等,-,-,-,未払金,200,現金,未収金,未払金,車両運搬具,手形貸付金,手形借入金,-,-,-,-,-,-,-
SECT005,Q0120,債権債務等,A商店は、販売用の自動車￥400を売却し、代金のうち、￥200は小切手で受取り、残額は後日受取ることとした。,現金,200,売上,400,現金,未収金,売掛金,売買目的有価証券,仕入,売上,-,-,-,-,-,-,「販売用」の自動車の売却は、すなわち、商品の売上に該当します。#そこで、後日受取る金額については「売掛金」を計上し、また、他店振出の小切手を受け取った場合は「現金」を計上することになります。#よって、#（借方）現金「資産の増加」#（借方）売掛金「資産の増加」#（貸方）売上「収益の増加」#となります。
SECT005,Q0121,債権債務等,-,売掛金,200,-,-,現金,未収金,売掛金,売買目的有価証券,仕入,売上,-,-,-,-,-,-,-
SECT005,Q0130,債権債務等,額面￥500、帳簿価格￥450の公債証券を￥400で売渡し、代金は月末に受取ることとしたが、本日代金を全額現金で受取った。,現金,400,未収金,400,現金,未収金,未払金,売買目的有価証券,手形貸付金,手形借入金,-,-,-,-,-,-,後日受取りとしていた売買目的有価証券の売却代金を回収した場合、「未収金」（資産）の減少として仕訳します。#よって、#（借方）現金400「資産の増加」#（貸方）未収金400「資産の減少」#となります。# #オマケ情報#「帳簿価格（略して「簿価」とも言う）」とはその時点の帳簿に記録されている価格のこと。#本問において、売買目的有価証券は売却時点で￥450と記録されていたということですね。#なお、売買目的有価証券を売却した際の仕訳は以下のとおりです。#（借方）未収金400「資産の増加」#（借方）有価証券売却損50「費用の増加」#（貸方）売買目的有価証券450「資産の減少」
SECT005,Q0140,債権債務等,土地￥300で購入した時に、代金については未払計上していたが、本日現金にて支払った。,未払金,300,現金,300,現金,未収金,未払金,売買目的有価証券,手形貸付金,手形借入金,-,-,-,-,-,-,後日払いとしていた未払金を支払った場合、「未払金」（負債）の減少として仕訳します。#よって、#（借方）未払金300「負債の減少」#（貸方）現金300「資産の減少」#となります。
SECT005,Q0150,債権債務等,A商店から￥400を借入れ、同額の約束手形を振出し、利息￥100を差引かれた手取額が当座預金口座に振り込まれた。,当座預金,300,手形借入金,400,現金,当座預金,手形貸付金,手形借入金,支払利息,借入金,-,-,-,-,-,-,手形借入れに際して、利息を払う場合、「支払利息」（費用）勘定で仕訳をします。#よって、#（借方）当座預金300「資産の増加」#（借方）支払利息100「費用の増加」#（貸方）手形借入金400「負債の増加」#となります。
SECT005,Q0151,債権債務等,-,支払利息,100,-,-,現金,当座預金,手形貸付金,手形借入金,支払利息,借入金,-,-,-,-,-,-,-
SECT005,Q0160,債権債務等,従業員に対して、現金￥300を一時的に立替えた。,立替金,300,現金,300,現金,当座預金,売掛金,立替金,売上,仕入,-,-,-,-,-,-,従業員に対して現金を立替えた場合、「立替金」（資産）の増加として仕訳します。#よって、#（借方）立替金300「資産の増加」#（貸方）現金300「資産の減少」#となります。
SECT005,Q0170,債権債務等,従業員給料￥400の支払いに際し、源泉所得税￥100と社会保険料￥100を差引いた残額を現金で支払った。,給料,400,預り金,200,現金,当座預金,給料,預り金,買掛金,預け金,-,-,-,-,-,-,給料の額面金額400は「給料」（費用）の増加として仕訳し、源泉所得税および社会保険料の天引分は「預り金」（負債）の増加として仕訳します。#よって、#（借方）給料400「費用の増加」#（貸方）預り金200「負債の増加」#（貸方）現金200「資産の減少」#となります。# #オマケ情報#会社は従業員の所得税及び社会保険料を、従業員に代わって納めなければならない義務があります。#「所得税」とは、個人が1年間で「もうけ」を上げた場合（会社員で言えば給料をもらった場合）に国に納めなければならない、という税金です。#「社会保険料」とは、日本国民が必ず加入しなければならない保険等（健康保険や年金）に対する保険料や掛金のことです。#そこで、会社は給料の支払い時にあらかじめ差し引いて（天引きして）従業員に支払い、後日国等に納めることになります。#ここで、天引きした分の現金については会社の所有物ではなく、あくまで税金等を代わりに納めるまで「預かっている」にすぎません。#そこで、「預り金」（負債）の増加として仕訳をすることになります。
SECT005,Q0171,債権債務等,-,-,-,現金,200,現金,当座預金,給料,預り金,買掛金,預け金,-,-,-,-,-,-,-
SECT005,Q0180,債権債務等,給料支給の際に預かった社会保険料￥100と企業負担額100をあわせて現金で納付した。,預り金,100,現金,200,現金,当座預金,法定福利費,預り金,買掛金,預け金,-,-,-,-,-,-,天引きした社会保険料を納めた際には、従業員に代わって納める義務が無くなったことになりますので「預り金」（負債）の減少として仕訳をします。#また、社会保険料の企業負担額を支払った場合には「法定福利費」（費用）の増加として仕訳します。#よって、#（借方）預り金100「負債の減少」#（借方）法定福利費100「費用の増加」#（貸方）現金200「資産の減少」#となります。# #オマケ情報#会社は従業員の社会保険料を代わりに納めなければならない他に、従業員の保険料を折半して負担しなければならない義務があります。#この、従業員のために支払わなければならない保険料は「法定福利費」という費用勘定で仕訳することになるわけです。
SECT005,Q0181,債権債務等,-,法定福利費,100,-,-,現金,当座預金,法定福利費,預り金,買掛金,預け金,-,-,-,-,-,-,-
SECT005,Q0190,債権債務等,給料支給時に預かった源泉所得税￥200を現金で納付した。,預り金,200,現金,200,現金,当座預金,給料,預り金,買掛金,預け金,-,-,-,-,-,-,源泉所得税を納付した際には従業員に代わって納める義務がなくなったことになりますので「預り金」（負債）の減少として仕訳をします。#よって、#（借方）預り金200「負債の減少」#（貸方）現金200「資産の減少」#となります。
SECT005,Q0200,債権債務等,得意先接待のため、現金￥300を仮払いした。,仮払金,300,現金,300,現金,当座預金,給料,預り金,仮払金,預け金,-,-,-,-,-,-,接待や出張等に先立って従業員にお金を渡しておく場合、「仮払金」（資産）の増加として仕訳をします。#よって、#（借方）仮払金300「資産の増加」#（貸方）現金300「資産の減少」#となります。# #オマケ情報#実際に終わるまではいくら費用としてかかるかわからない支出をした場合、「とりあえずこれくらいだろう」では費用は計上できません。#そこで、費用の金額が確定するまでは、とりあえず支払ったという意味の「仮払金」勘定を用いて仕訳をし、金額が確定した時点で実際に費用を計上することになります。
SECT005,Q0210,債権債務等,平成24年11月20日に得意先接待のための費用￥500を概算払いしていたが、平成24年11月24日に接待費用￥400を使用した報告を受け、残額を現金で受取った。,交際費,400,仮払金,500,現金,交際費,仮払金,預り金,未払金,未収金,-,-,-,-,-,-,以前に仮払金を計上していて、その費用の金額が確定した場合、仮払金を取り崩して、費用を計上します。#よって、#（借方）交際費400「費用の増加」#（借方）現金100「資産の増加」#（貸方）仮払金500「資産の減少」#となります。
